matchid,radiwin,time,fbtime,radi_totalkill,dire_totalkill,radi_totalassist,dire_totalassist,radi_denies,dire_denies,radi_networth,dire_networth,radi_damage,dire_damage,radi_level,dire_level,radi_heal,dire_heal,mode,version
31677,0,2379,24,31,47,66,97,15,19,49710,71655,58586,68034,85,101,0,7221,22,6.88
37386,0,3324,16,46,70,73,159,39,22,77270,96355,87669,105113,108,122,7330,3112,22,6.88
48626,1,1784,174,42,15,56,20,28,6,74245,49945,57878,27422,85,71,726,436,22,6.88
2851779810,0,2731,281,32,41,39,56,0,28,73175,96095,79239,89472,114,121,1856,1449,4,7
2851779811,0,1751,171,16,42,28,76,3,17,38080,69325,39431,64161,75,90,0,0,22,7
25857,1,1803,3,44,19,71,20,27,32,53855,45690,57918,42053,83,67,1973,243,22,6.88
48628,1,1762,2,36,19,73,26,20,39,65330,36500,61529,35151,75,64,1778,535,22,6.88
47073,0,2937,8,44,55,79,79,30,16,79830,91565,70902,78963,104,111,643,3525,22,6.88
16768,1,3533,175,48,49,93,87,38,69,103975,79855,64850,71163,114,108,0,568,22,6.88
25856,0,2252,129,19,42,25,68,41,36,57300,75800,33363,55634,78,89,0,3285,22,6.88
2863364558,1,2623,329,42,26,69,37,18,11,103080,78060,92199,96929,124,109,2554,3006,1,7
2863364559,1,3358,109,42,69,56,129,15,23,104645,88890,142834,166882,118,122,10166,7027,1,7
