Hero,win,kills,deaths,assists,damage,heal,lasthit,denies,level,tower,version
Monkey King,0,5,9,11,11156,0,112,14,17,511,7
Lich,0,14,9,13,30706,0,104,10,24,1827,7
Nyx Assassin,0,2,11,24,22118,0,103,4,22,18,7
Witch Doctor,0,11,9,18,20309,1505,62,4,25,1037,7
Phantom Lancer,1,11,3,23,29443,1481,418,1,25,9653,7
Earthshaker,1,5,10,24,21834,0,185,5,25,1527,7
Razor,1,16,11,27,38975,0,271,8,25,5656,7
Axe,1,21,5,14,35334,0,248,1,25,1615,7
Ogre Magi,1,7,17,26,21094,7700,67,0,24,681,7
Clinkz,0,6,14,14,40491,0,230,0,25,2736,7
Mirana,0,19,6,19,61433,0,490,6,25,2891,7
Shadow Demon,0,3,19,30,24174,100,134,0,25,362,7
Bristleback,0,12,9,19,35017,0,215,11,25,602,7
Venomancer,0,6,13,25,54634,0,223,4,25,3249,7
Luna,0,8,12,13,20385,0,140,1,23,256,7
Treant Protector,0,1,16,12,5745,2669,40,0,14,115,7
Outworld Devourer,0,2,12,8,9542,0,151,2,18,184,7
Invoker,0,14,10,4,20318,0,141,10,24,1032,7
Slardar,0,7,15,10,10747,0,53,0,18,0,7
Crystal Maiden,1,11,6,27,16653,0,35,0,22,649,7
Mirana,1,5,7,25,17068,0,73,2,22,556,7
Monkey King,1,19,7,17,33896,0,99,8,25,4632,7
Phantom Assassin,1,13,7,10,33245,0,173,1,25,3507,7
Sniper,1,15,5,27,37939,0,269,11,25,7470,7
Slark,1,12,6,14,19091,0,190,7,25,5080,7
Silencer,1,4,8,23,9932,0,111,6,22,859,7
Phantom Assassin,1,13,6,11,25301,1558,276,8,25,5506,7
Magnus,1,4,8,9,8017,0,112,0,21,634,7
Monkey King,1,20,1,11,33184,0,290,18,25,3619,7
Warlock,0,3,11,8,7148,3284,53,1,18,0,7
Ember Spirit,0,7,8,10,29258,0,178,4,24,94,7
Sniper,0,2,9,9,19342,0,201,15,20,110,7
Axe,0,10,11,6,26326,0,142,0,22,16,7
Tinker,0,5,14,9,21173,0,99,4,18,0,7
Luna,1,25,6,19,28082,0,219,10,25,7694,7
Razor,1,8,1,17,18710,0,173,2,24,8067,7
Abaddon,1,8,11,18,22404,0,73,4,23,556,7
Jakiro,1,2,8,25,9135,0,31,0,16,1098,7
Magnus,1,18,3,21,29628,1304,144,4,25,1721,7
Huskar,0,4,13,8,21019,648,56,0,17,52,7
Naga Siren,0,8,10,6,16022,1045,183,2,22,1001,7
Tiny,0,6,13,2,12003,0,26,0,14,1443,7
Venomancer,0,2,16,16,15344,0,48,2,14,219,7
Enigma,0,4,10,9,12475,0,80,3,19,389,7
Mirana,1,6,0,17,10512,0,173,6,22,4794,7
Necrophos,1,11,8,13,13670,1745,107,0,21,766,7
Spirit Breaker,1,8,7,23,11512,312,71,1,21,1380,7
Windranger,1,3,7,12,8714,0,145,10,21,5491,7
Enigma,1,9,1,16,16476,810,214,1,23,4048,7
Monkey King,0,5,14,4,12491,0,57,4,16,0,7
Drow Ranger,0,1,4,10,5903,0,126,1,19,0,7
Juggernaut,0,6,7,4,15188,0,167,3,20,0,7
Rubick,0,2,7,12,6166,0,35,5,16,0,7
Chaos Knight,0,9,7,5,14064,0,105,8,21,0,7
Lycan,0,3,7,11,8501,10865,128,7,18,5063,7
Pudge,0,1,12,11,9165,400,19,1,15,0,7
Razor,0,3,11,9,16737,0,57,2,16,0,7
Sniper,0,16,8,6,34843,0,139,12,23,244,7
Earthshaker,0,2,9,17,14687,0,30,0,20,0,7
Centaur Warrunner,1,9,2,21,23024,0,141,1,22,5345,7
Medusa,1,6,5,13,14850,0,179,2,22,6943,7
Monkey King,1,22,6,11,43807,0,212,26,25,4564,7
Necrophos,1,6,6,24,15687,5825,55,9,21,725,7
Ogre Magi,1,4,6,23,10316,2885,42,3,18,2177,7
Nyx Assassin,0,7,8,8,14868,0,60,13,19,0,7
Pudge,0,1,7,5,7575,0,34,1,14,0,7
Terrorblade,0,6,12,16,11862,0,78,5,20,475,7
Dazzle,0,0,6,7,6365,5441,45,1,16,0,7
Invoker,0,7,6,6,18033,0,100,1,19,275,7
Phantom Assassin,1,9,2,3,17185,0,241,3,23,6727,7
Beastmaster,1,3,2,15,8713,0,100,7,21,2030,7
Weaver,1,15,4,13,35200,0,96,0,22,2177,7
Omniknight,1,3,5,14,7476,2389,40,2,16,163,7
Monkey King,1,8,8,9,19032,0,160,7,21,4938,7
